,,,,,
,Titulo del Bug,Descripción,Comportamiento Observado,Comportamiento Esperado,ESTADO
,Permisividad de valores decimales en el stock de productos no fraccionables (Unidad). ,"Descripción: El sistema no restringe el uso de decimales en el campo de inventario para artículos cuya unidad de medida está configurada como ""Por Unidad"". Esto permite que el administrador guarde cantidades físicamente imposibles para este tipo de productos (como fracciones de una lata o un paquete), lo que ensucia la base de datos y puede causar errores en el cálculo de stock disponible en la App y el Punto de Venta.","Comportamiento Observado: 1. En el módulo Mis Productos, se selecciona un producto configurado con la unidad de medida: ""Por Unidad (default)"". 2. Al editar el stock, el sistema permite ingresar un valor con decimales (ej. 5.4). 3. Al darle a ""Guardar"", el sistema acepta y persiste el dato sin arrojar ninguna alerta o redondear el valor al entero más cercano. 4. Como resultado, el inventario muestra existencias fraccionadas de un producto que solo debería venderse por piezas completas.","Comportamiento Esperado: El campo de stock debe validar el unit_type. Si el producto es ""Por Unidad"", el sistema debe obligar al usuario a ingresar números enteros o, en su defecto, truncar/redondear automáticamente cualquier decimal ingresado. La entrada de decimales solo debería estar permitida para productos configurados ""Por Peso/Kg"".",Pendiente
,Error de precisión de punto flotante en el cálculo de Stock,"Descripción: Presencia de residuos decimales infinitos en el campo de stock (Floating Point Error). El sistema presenta errores de precisión matemática al realizar operaciones de suma o resta en el inventario. En lugar de almacenar valores exactos (ej. 8.7 o 0), la base de datos registra números con una cadena extensa de decimales. Esto afecta tanto a productos pesables (Kg) como a productos por unidad, lo que sugiere un fallo en la forma en que el lenguaje (JavaScript) procesa las operaciones aritméticas antes de persistirlas en la base de datos.","Comportamiento Observado: 1. En el módulo Mis Productos, se observa el stock de un producto pesable (Queso), mostrando un valor de 8.7000000000000001 en lugar de 8.7. 2. En productos por unidad (Garbanzos), tras realizar ventas o ediciones, el stock muestra un residuo de 0.40000000000000036 en lugar de un valor entero o cero. 3. Este error se propaga a la interfaz del administrador y potencialmente a la lógica de validación de la App.",Comportamiento Esperado: Los cálculos de stock deben ser precisos. El sistema debe redondear los resultados a un máximo de 3 decimales (para productos por peso) o asegurar valores enteros (para productos por unidad) antes de guardar el dato en la base de datos.,Pendiente
MODULO PUNTO DE VENTA,Falta de persistencia de datos en el carrito de ventas (POS),"Descripción: Pérdida de artículos cargados en el Punto de Venta ante eventos de navegación, cierre de pestaña o sesión.El carrito de compras del módulo Punto de Venta no cuenta con un sistema de almacenamiento persistente (como localStorage o estados persistentes). Esto provoca que cualquier acción que interrumpa la sesión actual (cambiar de módulo, cerrar la pestaña del navegador o cerrar sesión) resulte en el borrado inmediato de todos los productos añadidos, obligando al administrador a iniciar la carga de la venta desde cero.","Comportamiento Observado: Se cargan varios productos al carrito en el módulo Punto de Venta. Escenario A: Se navega a otro módulo (ej. ""Mis Productos"") y se regresa al Punto de Venta. El carrito aparece vacío. Escenario B: Se cierra la pestaña del navegador y se vuelve a abrir la URL del POS. El carrito aparece vacío. Escenario C: Se cierra la sesión del usuario y se vuelve a ingresar. El carrito aparece vacío.",Comportamiento Esperado: Los artículos añadidos al carrito del POS deben persistir (al menos en la memoria local del navegador) hasta que la venta sea procesada con éxito o el usuario decida limpiar el carrito manualmente. El sistema debe permitir la navegación entre módulos o el cierre accidental de la ventana sin perder el progreso de la venta actual.,Pendiente
,"Discrepancia de comportamiento en productos ""No disponibles""","Descripción: Inconsistencia funcional al desactivar disponibilidad de productos entre App y Punto de Venta (POS). El sistema aplica reglas distintas para los productos marcados como ""No disponibles"". Mientras que en la App el producto sigue siendo visible (aunque bloqueado), en el Punto de Venta (POS) el producto desaparece por completo del catálogo, impidiendo que el administrador pueda incluso consultarlo. No existe un estándar de qué debe pasar cuando un producto se marca como no disponible.","Comportamiento Observado: 1. Se marca un producto (ej. ""Refresco"") como No disponible desde el panel de la tienda. 2. En la App (Usuario): El producto sigue apareciendo en el catálogo. Al entrar al detalle dice ""Producto agotado"" y no tiene botón de agregar. 3. En el POS (Administrador): El producto desaparece totalmente de la lista de ventas; no se puede buscar ni seleccionar.","Comportamiento Esperado: Debe existir una lógica unificada. 1. Si la intención es Ocultar, el producto no debe aparecer ni en App ni en POS. 2. Si la intención es marcar como Agotado, debe aparecer en ambos con un indicador visual, pero con el botón de ""Vender/Añadir"" bloqueado. 3. El administrador siempre debería poder ver el producto en el POS (quizás sombreado) para saber que existe pero no hay stock.",Pendiente
,,,,,
APP,Fallo de concurrencia y sobreventa (Overselling) en App Móvil,"Descripción: Permisividad de órdenes múltiples agotando stock inexistente (Falta de validación de inventario en Checkout).La aplicación permite que un usuario (o varios) genere y confirme múltiples órdenes de compra para un producto que tiene stock limitado (ej. 1 unidad), sin bloquear la transacción una vez que el inventario llega a cero. El sistema no actualiza el estado a ""Agotado"" ni valida la disponibilidad física antes de procesar el pago o la confirmación de la segunda orden, lo que resulta en pedidos ""fantasma"" en el panel administrativo.","Comportamiento Observado: Se tiene un producto (""Refresco"") con Stock inicial: 1. Desde la App, se realiza un pedido de 1 unidad y se confirma con éxito. 2. Inmediatamente después, el sistema permite realizar un segundo pedido del mismo producto sin mostrar ninguna alerta de stock insuficiente. 3. En el Panel Administrativo, llegan dos órdenes distintas en estado ""Pendiente"". 4. El sistema permite cambiar ambas órdenes a ""Entregado"", ignorando que físicamente solo existía una unidad disponible.","Comportamiento Esperado: Una vez que la primera orden es confirmada, el stock debe descontarse (o reservarse) inmediatamente en la base de datos. Cualquier intento posterior de compra del mismo producto debe ser bloqueado en el carrito o en el checkout con un mensaje de: ""Lo sentimos, este producto ya no cuenta con stock disponible"". Asimismo, el producto debe cambiar automáticamente a estado ""Agotado"" en el catálogo de la App",Pendiente (Crítico)
,Imposibilidad de realizar pedidos por gramos (decimales) en la App Móvil para productos pesables.,"Descripción: La aplicación no permite al usuario ingresar o seleccionar cantidades decimales (fracciones) al agregar productos configurados por unidad de medida ""Kg"" al carrito. El selector de cantidad está limitado a números enteros, lo que obliga al cliente a comprar el kilo completo e impide la compra de porciones menores (ej. 250g o 500g).","Comportamiento Observado: 1. El usuario selecciona un producto vendido por peso (ej. Queso a $5/kg). 2. Al intentar ajustar la cantidad en la App, el selector solo permite incrementos de 1 en 1 (1kg, 2kg, etc.). 3. No existe un campo de entrada manual o un selector que permita poner 0.5 o 0.25, por lo que se carga automáticamente el monto total del kilo ($5) al carrito sin opción a fraccionarlo.","Comportamiento Esperado: Para productos cuya unidad de medida sea ""Kg"" o ""Peso"", la App debe habilitar un selector decimal o un campo de entrada numérica que permita al usuario especificar la cantidad exacta en gramos (ej. 0.500kg), calculando el precio proporcional de forma automática en el subtotal. Ajustar para 0.500kg y 1k",Pendiente
,"Falla de validación en el Frontend. Falta de notificación de error (Toast/Alert) ante validación de campo obligatorio ""Dirección"" en pedidos con envío.","Descripción: La aplicación bloquea la creación de una orden cuando se selecciona la opción de ""Envío a domicilio"" si el usuario no ha ingresado previamente una dirección. Sin embargo, el sistema no muestra ningún mensaje de error, alerta o notificación (Toast) que explique al usuario por qué no se procesa la acción, dejando la interfaz en un estado de inactividad que genera confusión.","Comportamiento Observado: 1. El usuario selecciona productos y procede al checkout en la App. 2. Selecciona la opción de ""Envío a domicilio"". 3. Al presionar el botón de ""Crear Orden"" (o similar), el sistema no realiza ninguna acción: no cambia de pantalla, no muestra un cargador (loader) ni emite ningún aviso. 4. El usuario queda atrapado en la pantalla de checkout sin saber que el error se debe a la falta de una dirección de domicilio registrada.","Comportamiento Esperado: Al presionar ""Crear Orden"" con el método de envío seleccionado y el campo de dirección vacío, el sistema debe disparar inmediatamente un mensaje tipo Toast o Alert que indique: ""Error: Debe ingresar una dirección de domicilio para continuar con este método de envío"". Idealmente, debería resaltar el campo faltante en color rojo.",Pendiente
,Inconsistencia en la validación de stock máximo entre Vista de Catálogo y Carrito,"Descripción: Discrepancia de validación de inventario: el Catálogo permite exceder el stock mientras que el Carrito lo bloquea silenciosamente. Existe una falta de sincronización en las reglas de validación de cantidades entre la vista principal de productos y la vista detallada del carrito. Mientras que el icono de ""Añadir al carrito"" en el catálogo permite agregar unidades por encima del stock disponible (ej. 2 unidades cuando solo hay 1), el selector de cantidad dentro del carrito bloquea el incremento pero no informa al usuario el motivo (falta de mensaje de error/Toast).","Comportamiento Observado: Se tiene un producto (""Refresco"") con Stock: 1. En el Catálogo: El usuario hace clic repetidamente en el icono del carrito debajo del producto. El sistema permite agregar 2 o más unidades sin restricción. 2. En el Carrito: Al entrar a revisar la orden, aparecen las 2 unidades. Si el usuario intenta presionar el botón ""+"" para agregar una tercera, el botón no responde. 3. No se muestra ningún mensaje de ""Stock insuficiente"" o ""Límite alcanzado"" en ninguna de las dos etapas, dejando al usuario sin entender por qué el botón del carrito dejó de funcionar.","Comportamiento Esperado: 1. El icono del carrito en el catálogo debe estar deshabilitado o arrojar un error si el usuario intenta agregar más unidades de las existentes en stock. 2. El selector de cantidad dentro del carrito, al alcanzar el límite de stock, debe mostrar un aviso visual (Toast) indicando: ""Has alcanzado el límite de stock disponible para este producto"". 3. Ambas vistas deben consultar la misma lógica de validación de inventario en tiempo real.",Pendiente (Crítico)
,Exposición y venta de productos no configurados (Sin precio / Sin stock),"Descripción: Publicación automática de productos con Stock 0 y Precio $0.00 en la App móvil. El catálogo de la aplicación no filtra los productos que carecen de información comercial crítica (precio e inventario). Esto permite que un usuario final visualice, añada al carrito y confirme una orden de un producto que técnicamente no está listo para la venta, generando pedidos con datos incompletos en el panel administrativo.","Comportamiento Observado: 1. Desde el panel de Mis Productos, se crea un nuevo artículo. 2. Se deja el campo de Stock en 0 y el campo de Precio vacío ($0.00). 3. Al ingresar a la App como usuario, el producto aparece listado en el catálogo. 4. El sistema permite agregarlo al carrito y procesar la orden sin restricciones de ""Agotado"" o validación de precio mínimo.","Comportamiento Esperado: El catálogo de la App debe ocultar automáticamente cualquier producto que tenga stock <= 0 o precio <= 0. Alternativamente, si se desea mostrar productos agotados, el botón de ""Añadir"" debe estar bloqueado y el precio debe estar claramente configurado antes de permitir cualquier transacción.",Pendiente (Crítico)
